N,biot_coefficient,storativity,young_modulus,init_stress_x,perm_kr,perm_km,perm_beta,perm_gamma
0,0.2198999031580333,1.7353240352781678e-07,778840070249.8574,131434647.70668958,2.7723345293711943e-24,6.7420328700856725e-19,5.924429585118903e-07,1.546522340192796e-06
5,0.2240157756050356,1.9475740382550027e-07,909842364082.3916,135892702.1993321,1.9627536792716285e-24,1.736985675170812e-18,8.037250104019188e-07,1.6398543691027006e-06
2,0.2200483789107975,3.669309259878794e-07,931839163458.4427,133083403.36729094,1.687974582445693e-24,1.3721266569499487e-18,8.667658449498737e-07,1.4421714675083416e-06
37,0.2175968574951262,2.1547953321931459e-07,1191650425428.9668,132913560.56085648,2.254060039649541e-24,1.0657737949196865e-18,5.231300589320538e-07,9.819467424576523e-07
14,0.2214839905647785,1.8357163783393258e-07,1219424195048.483,133191051.26329046,6.984631611558452e-24,3.24160366925223e-18,3.237824345258668e-07,7.13463262433134e-07
34,0.214624713216947,1.550767338337423e-07,1564507732382.1812,194901413.4427859,6.697984516376924e-24,3.857756211020123e-18,4.140113006492457e-07,2.5350079520760493e-07
1,0.217995972642406,6.757536804143266e-08,1778526944999.04,242081181.0922194,9.588591890527934e-24,2.7163381075567893e-18,5.248384147797485e-07,3.20398027367388e-07
5,0.218821819686885,3.5637123906816526e-08,1516277398404.3518,182965200.2519869,2.4905300525640082e-23,1.7157943523417953e-18,4.925555593864538e-07,4.576245956423603e-07
5,0.2218374889393337,4.2221790136455167e-08,2037868533157.789,175229916.19129235,1.754048169922503e-23,1.8253558328410454e-18,3.0274089024089175e-07,4.27728193073608e-07
1,0.2173887279773408,7.04482980929948e-08,2453788782393.085,149036535.46510455,1.285123047554648e-23,3.4350961921004263e-18,2.3482017706696138e-07,4.045452058266522e-07
3,0.2159132502434347,5.1426042897573015e-08,2118817595754.276,119185652.80993408,3.816139186783892e-23,2.053850021999722e-18,1.48213229803382e-07,3.152393476198453e-07
10,0.2144204309910275,6.345359237599203e-08,932867358439.3754,129728760.84363236,7.43013445851312e-23,3.2236965320166866e-18,1.617090670771024e-07,2.3070166215704945e-07
2,0.2093779369434689,4.488112873058133e-08,658578158137.3,85629696.35217059,2.454364853403036e-22,7.030840109390319e-18,1.2760885883225238e-07,2.353300784946473e-07
2,0.2084311414017449,7.23416201125558e-08,448698214756.9345,95165622.54282229,3.601275726474248e-22,5.361884252653551e-18,1.0324218707033029e-07,3.0312828885545e-07
