N,biot_coefficient,storativity,young_modulus,init_stress_x,perm_kr,perm_km,perm_beta,perm_gamma
5,0.2862948097268969,8.448928893382744e-08,1030378298243.8029,39703399.32978713,6.260813522145493e-24,6.391632292289004e-18,5.098096402722435e-07,7.514923978880728e-06
2,0.2771003945295326,6.462126786403738e-08,750383978745.7384,62407089.356739774,1.2102477478077715e-24,8.681364071915284e-18,4.60627492170842e-07,6.257782193580009e-06
8,0.2762342030327651,8.729663641475206e-08,1025681536602.6696,51504283.854137294,1.669043900018598e-24,7.477268671556364e-18,5.314464171835421e-07,9.099466663050403e-06
18,0.2735280808923447,5.126479436319943e-08,1311657512773.8943,51438553.403218165,2.228780692895169e-24,5.807829012981165e-18,3.207505200629281e-07,6.195651383480621e-06
3,0.2726152233728248,1.026809796377733e-07,1209753425372.648,67953313.64270484,1.5899653527559486e-24,3.4258825406187254e-18,2.3286388277930439e-07,2.51737195038832e-06
15,0.2755449043466596,7.085049509284644e-08,851347346446.8121,63778163.377266906,1.176846657742862e-24,3.189893826321416e-18,2.3508843042754093e-07,1.2415078392930355e-06
2,0.2662662286623619,1.7244878264268642e-07,910161932563.4302,75879009.78979513,1.3515104773584286e-24,1.9102594796240262e-18,2.371188795114894e-07,4.1986130187756797e-07
8,0.2669752999895114,8.797316528615709e-08,1160101974212.9631,88396211.16161302,7.100810050355921e-25,2.7602268590277533e-18,2.413508663343285e-07,2.7138649111444e-07
12,0.2665517798287998,6.677616423072002e-08,562809442515.794,44347469.142604,1.0676171606801204e-24,2.9281105084951226e-18,2.807873252236883e-07,2.562992845711109e-07
4,0.2729057639984691,6.129721322855845e-08,389097536293.8077,40525326.05756455,1.5068837850491528e-24,2.9042383851822062e-18,3.31388392717915e-07,1.8966509413110458e-07
4,0.2653840354138885,5.1782354468039696e-08,499207828296.6294,59301606.63148136,1.44504174615828e-24,3.4562657289020777e-18,4.237368209616265e-07,6.738994804216209e-08
6,0.2662844634763777,2.730838522748061e-08,425598020474.8082,44820213.96144894,3.753335147751962e-24,2.18317491528206e-18,3.976727331763235e-07,9.625308238178321e-08
1,0.2621380840756256,3.2396258196713486e-08,405682839975.646,30993224.134996016,2.360120111733763e-24,3.42497333975538e-18,3.123759160296988e-07,1.3011386914974033e-07
3,0.2637880349263704,2.388304987763874e-08,622573633973.2212,17869725.65089216,5.6392122084907026e-24,3.2100540225480044e-18,2.368287626880455e-07,8.225135646218348e-08
4,0.2648651538130609,1.4029428641452691e-08,690958178173.7412,10266563.275105055,4.743105105339342e-24,2.6344430332238745e-18,3.385966427147668e-07,7.268614090824431e-08
5,0.2542794904278682,1.761323465069006e-08,300947334211.1713,26257159.51915581,2.4055579368614084e-23,1.7822112470624714e-18,3.319305582667674e-07,7.504339422579666e-08
7,0.2546779206217991,1.0958653847334542e-08,315821795615.0326,24487746.53233754,3.24607633520326e-23,4.1007109738713515e-18,4.664461524698602e-07,5.380961573460209e-08
3,0.2536426317919761,1.766369955461239e-08,215173664845.79227,27214760.097203918,4.7629495248196293e-23,3.1272987656365672e-18,3.77379136309286e-07,6.931207793724605e-08
11,0.2543945464395816,1.810381017739275e-08,249229000256.6281,14653895.226335691,4.766912902494639e-23,4.7057978877516485e-18,6.682157053411467e-07,8.30593469868842e-08
6,0.250635210076547,1.3179054359884178e-08,180307523307.86917,13923250.02851467,4.394818836534102e-23,1.9376869671179774e-18,5.486436844907899e-07,1.1415238627299701e-07
2,0.2453203840583565,2.657973668843025e-08,266332381756.7776,20067066.62790919,2.8766990949710064e-23,3.217907575312196e-18,5.483295028713172e-07,1.194442447562173e-07
1,0.2479360013150078,8.303498241362452e-08,149704238992.8774,18749730.28719493,9.738014784040965e-24,4.6345752082051864e-18,5.983391955911705e-07,2.851564171303936e-07
3,0.2434700042559374,8.855974482929203e-08,98913912419.8744,16362675.189483069,2.8258007372641256e-23,2.1832673744186454e-18,8.194588232391739e-07,2.55056689388835e-07
3,0.231996065528466,9.131691048051e-08,151368827216.82642,17942350.48817329,4.569036353599273e-23,1.5998855160560598e-18,4.418279909966069e-07,2.665091933315128e-07
2,0.2309564086643951,1.51190746355363e-07,184800566850.57104,31537124.591550373,5.861953748554364e-23,2.0240626731222727e-18,4.042211155661985e-07,4.732246496301796e-07
2,0.2343067725097838,1.5547153256403045e-07,245907492229.84372,24600007.63859321,5.885321602905942e-23,1.4989250745753369e-18,2.7174146801144776e-07,3.188886231525048e-07
1,0.238469766405208,6.164683299470386e-08,216088059364.07635,16009495.93657508,7.087843859102598e-23,1.2441932887971998e-18,3.5044520093654175e-07,3.7834171704230937e-07
2,0.2510257731698675,4.826159579264765e-08,189291756017.17944,26310483.55138107,7.81189133297097e-23,1.905657742391345e-18,4.058590928665194e-07,7.369277367924083e-07
3,0.2526954635514466,3.6366955629819335e-08,231261809342.2846,20452942.38298973,4.774329903939168e-23,3.673786620273047e-18,8.714826316498782e-07,1.070203255867967e-06
1,0.2497020697401272,4.5398199986566565e-08,341234126806.2909,25291386.33311195,4.247350156362876e-23,7.502224832926494e-19,1.1611815926084849e-06,1.080211874932828e-06
1,0.2502522532921172,3.5520602979273964e-08,144348541154.09366,23904173.69946497,8.396676070027616e-23,1.153053799523791e-18,9.227804299295764e-07,1.1021262537173224e-06
10,0.244967010072003,4.073482409613568e-08,189579103069.3525,22738428.425158016,1.544482127192403e-22,4.609468896785982e-19,8.987009363642888e-07,1.476784732785389e-06
3,0.2480305501749599,3.657613996987314e-08,135530490994.61632,23726587.732016277,9.270086444540056e-23,4.667791946111958e-19,4.862976563666639e-07,1.2936334654046718e-06
1,0.237485257346223,7.695507419551731e-08,112416771617.50198,34908255.52071137,6.993545893515311e-23,4.57495589934114e-19,5.0740382591432e-07,9.379312314539494e-07
